LECROYWR640Zi,60927,Waveform
Segments,10,SegmentSize,200002
Segment,TrigTime,TimeSinceSegment1
#1,09-Aug-2019 16:29:48,0                 
#2,09-Aug-2019 16:29:48,5.701447e-006     
#3,09-Aug-2019 16:29:48,1.129295e-005     
#4,09-Aug-2019 16:29:48,1.703487e-005     
#5,09-Aug-2019 16:29:48,2.266119e-005     
#6,09-Aug-2019 16:29:48,2.866887e-005     
#7,09-Aug-2019 16:29:48,3.442581e-005     
#8,09-Aug-2019 16:29:48,4.167359e-005     
#9,09-Aug-2019 16:29:48,4.747351e-005     
#10,09-Aug-2019 16:29:48,5.318782e-005    
Time,Ampl
-6.99682066e-007,4.56868e-005
-6.99657066e-007,8.55632e-005
-6.99632066e-007,0.000101432
-6.99607066e-007,9.37012e-005
-6.99582066e-007,6.64388e-005
-6.99557066e-007,2.73763e-005
-6.99532066e-007,-1.29069e-005
-6.99507066e-007,-4.42383e-005
-6.99482066e-007,-6.01074e-005
-6.99457066e-007,-5.64453e-005
-6.99432066e-007,-3.40658e-005
-6.99407066e-007,2.14844e-006
-6.99382066e-007,4.56868e-005
-6.99357066e-007,8.92253e-005
-6.99332066e-007,0.000125439
-6.99307066e-007,0.000148633
-6.99282066e-007,0.000156364
-6.99257066e-007,0.000147819
-6.99232066e-007,0.000124626
-6.99207066e-007,9.00391e-005
-6.99182066e-007,4.85352e-005
-6.99157066e-007,4.99674e-006
-6.99132066e-007,-3.48796e-005
-6.99107066e-007,-6.74316e-005
-6.99082066e-007,-8.94043e-005
-6.99057066e-007,-0.000100798
-6.99032066e-007,-0.000101204
-6.99007066e-007,-9.18457e-005
-6.98982066e-007,-7.51628e-005
-6.98957066e-007,-5.19694e-005
-6.98932066e-007,-2.55208e-005
-6.98907066e-007,1.74154e-006
-6.98882066e-007,2.57487e-005
-6.98857066e-007,4.44661e-005
-6.98832066e-007,5.50456e-005
-6.98807066e-007,5.7487e-005
-6.98782066e-007,5.30111e-005
-6.98757066e-007,4.36523e-005
-6.98732066e-007,3.38867e-005
-6.98707066e-007,2.73763e-005
-6.98682066e-007,2.69694e-005
-6.98657066e-007,3.34798e-005
-6.98632066e-007,4.65007e-005
-6.98607066e-007,6.35905e-005
-6.98582066e-007,8.14941e-005
-6.98557066e-007,9.61426e-005
-6.98532066e-007,0.000105908
-6.98507066e-007,0.000107943
-6.98482066e-007,0.000101432
-6.98457066e-007,8.51563e-005
-6.98432066e-007,5.83008e-005
-6.98407066e-007,2.0459e-005
-6.98382066e-007,-2.79622e-005
-6.98357066e-007,-8.53353e-005
-6.98332066e-007,-0.000148405
-6.98307066e-007,-0.000213102
-6.98282066e-007,-0.000273324
-6.98257066e-007,-0.000323372
-6.98232066e-007,-0.000357145
